"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2009-06-10T11:43:43"	"1244634223"	"Scumgrief [Deep Dub Trauma Mix]"	""	"Fear Factory"	"c17f08f4-2542-46fb-97f3-3202d60c225a"	"Scumgrief [Deep Dub Trauma Mix]"	""	"Fear Factory"	"c17f08f4-2542-46fb-97f3-3202d60c225a"
"2009-07-12T04:04:10"	"1247371450"	"Kill The Turkey (Live)"	""	"Gregory and the Hawk"	"3f180da3-4d5e-4678-957c-15ccdb123d84"	"Kill The Turkey (Live)"	""	"Gregory and the Hawk"	"3f180da3-4d5e-4678-957c-15ccdb123d84"
"2009-08-27T13:15:08"	"1251378908"	"Purple Bounce (Jimi Hendrix vs. Chemical Brothers)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"Purple Bounce (Jimi Hendrix vs. Chemical Brothers)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2011-04-15T11:58:18"	"1302868698"	"Hot Flush"	"bf49956a-fe6e-4408-9c4d-31ee00d068df"	"Red Snapper"	"89abed31-3a93-407e-a4a3-a94e193488cd"	"Hot Flush"	"bf49956a-fe6e-4408-9c4d-31ee00d068df"	"Red Snapper"	"89abed31-3a93-407e-a4a3-a94e193488cd"
"2011-04-16T13:27:04"	"1302960424"	"Deja Vu"	"aaff484f-488d-4c37-9bf1-dd3fb9f2de06"	"Crosby, Stills & Nash"	"cfafad90-b736-4c74-8ded-f3f4d7b2c792"	"Deja Vu"	"aaff484f-488d-4c37-9bf1-dd3fb9f2de06"	"Crosby, Stills & Nash"	"cfafad90-b736-4c74-8ded-f3f4d7b2c792"
"2011-04-16T13:27:37"	"1302960457"	"Helplessly Hoping"	"0cd9a738-d994-435a-a92a-33b74ea0f853"	"Crosby, Stills & Nash"	"cfafad90-b736-4c74-8ded-f3f4d7b2c792"	"Helplessly Hoping"	"0cd9a738-d994-435a-a92a-33b74ea0f853"	"Crosby, Stills & Nash"	"cfafad90-b736-4c74-8ded-f3f4d7b2c792"
"2011-04-17T05:30:33"	"1303018233"	"Bob Gandhi"	"05fe82f5-8cad-4aed-be71-d99927f8ad01"	"Ratatat"	"f467181e-d5e0-4285-b47e-e853dcc89ee7"	"Bob Gandhi"	"05fe82f5-8cad-4aed-be71-d99927f8ad01"	"Ratatat"	"f467181e-d5e0-4285-b47e-e853dcc89ee7"
"2011-04-17T05:30:35"	"1303018235"	"Jealous Of Roses"	"f83c04a6-40f9-4f6a-af30-8e7a9fa45016"	"Bibio"	"9f9953f0-68bb-4ce3-aace-2f44c87f0aa3"	"Jealous Of Roses"	"f83c04a6-40f9-4f6a-af30-8e7a9fa45016"	"Bibio"	"9f9953f0-68bb-4ce3-aace-2f44c87f0aa3"
"2011-04-17T05:35:26"	"1303018526"	"Fire Ant"	"e764892a-1a90-417a-88b3-8a479081453c"	"Bibio"	"9f9953f0-68bb-4ce3-aace-2f44c87f0aa3"	"Fire Ant"	"e764892a-1a90-417a-88b3-8a479081453c"	"Bibio"	"9f9953f0-68bb-4ce3-aace-2f44c87f0aa3"
"2011-04-24T11:59:39"	"1303646379"	"Flow Like A River"	"d9cdb2da-e0e1-4fe9-8d42-ca0542062bc5"	"Nick Lovell"	"20720ab5-80ac-44d4-8345-4d8713bca16d"	"Flow Like A River"	"d9cdb2da-e0e1-4fe9-8d42-ca0542062bc5"	"Nick Lovell"	"20720ab5-80ac-44d4-8345-4d8713bca16d"
"2011-04-24T12:00:13"	"1303646413"	"Lady And The Crow"	"0f214c9a-c39f-453b-9224-aff7b9d49873"	"Nick Lovell"	"20720ab5-80ac-44d4-8345-4d8713bca16d"	"Lady And The Crow"	"0f214c9a-c39f-453b-9224-aff7b9d49873"	"Nick Lovell"	"20720ab5-80ac-44d4-8345-4d8713bca16d"
"2011-04-27T10:28:58"	"1303900138"	"A Night In Torino"	"85131a19-541a-4e94-9cfe-3f29993b0e76"	"Parov Stelar"	"127d512f-fc09-4551-b1e0-557226ccff00"	"A Night In Torino"	"85131a19-541a-4e94-9cfe-3f29993b0e76"	"Parov Stelar"	"127d512f-fc09-4551-b1e0-557226ccff00"
"2011-04-27T11:29:19"	"1303903759"	"a night in torino"	""	"Parov Stelar and Band"	""	"a night in torino"	""	"Parov Stelar and Band"	""
"2011-05-08T01:07:22"	"1304816842"	"Never"	"8b2cdea6-56f8-479c-b3bf-32b70691e02c"	"Lyn Leon"	"92d125fd-d528-49b7-8ed1-0bdc44a44542"	"Never"	"8b2cdea6-56f8-479c-b3bf-32b70691e02c"	"Lyn Leon"	"92d125fd-d528-49b7-8ed1-0bdc44a44542"
"2011-05-09T19:42:49"	"1304970169"	"Fahrenheit Fair Enough"	"b79359d6-4408-4d51-ad45-528706fb23f4"	"Telefon Tel Aviv"	"453f1594-112e-4d3c-921a-8d14e9c97b2e"	"Fahrenheit Fair Enough"	"b79359d6-4408-4d51-ad45-528706fb23f4"	"Telefon Tel Aviv"	"453f1594-112e-4d3c-921a-8d14e9c97b2e"
"2011-05-10T23:38:34"	"1305070714"	"220 V / Spektral"	""	"Jaga Jazzist"	"5c71ea68-9238-4dfc-8519-bd6eff6bc28b"	"220 V / Spektral"	""	"Jaga Jazzist"	"5c71ea68-9238-4dfc-8519-bd6eff6bc28b"
"2011-05-17T01:48:59"	"1305596939"	"Lovers' Carvings"	""	"Bibio"	"9f9953f0-68bb-4ce3-aace-2f44c87f0aa3"	"Lovers' Carvings"	""	"Bibio"	"9f9953f0-68bb-4ce3-aace-2f44c87f0aa3"
"2011-05-18T07:18:47"	"1305703127"	"Ham 'N' Eggs"	""	"A Tribe Called Quest"	"9689aa5a-4471-4fb4-9721-07cecda0fa9f"	"Ham 'N' Eggs"	""	"A Tribe Called Quest"	"9689aa5a-4471-4fb4-9721-07cecda0fa9f"
"2011-05-18T07:25:06"	"1305703506"	"Description Of A Fool"	"5b101c81-f70c-4ff6-9e61-9dba8fae1d94"	"A Tribe Called Quest"	"9689aa5a-4471-4fb4-9721-07cecda0fa9f"	"Description Of A Fool"	"5b101c81-f70c-4ff6-9e61-9dba8fae1d94"	"A Tribe Called Quest"	"9689aa5a-4471-4fb4-9721-07cecda0fa9f"
"2011-05-18T08:17:28"	"1305706648"	"Heartbeats"	"edfb19c0-8796-46ca-9bb6-cf5314e14419"	"José González"	"cd8c5019-5d75-4d5c-bc28-e1e26a7dd5c8"	"Heartbeats"	"edfb19c0-8796-46ca-9bb6-cf5314e14419"	"José González"	"cd8c5019-5d75-4d5c-bc28-e1e26a7dd5c8"
"2011-05-18T10:21:03"	"1305714063"	"Excursions"	"32c57b29-b0b5-490d-be27-a8642d0bdfd9"	"A Tribe Called Quest"	"9689aa5a-4471-4fb4-9721-07cecda0fa9f"	"Excursions"	"32c57b29-b0b5-490d-be27-a8642d0bdfd9"	"A Tribe Called Quest"	"9689aa5a-4471-4fb4-9721-07cecda0fa9f"
"2011-05-18T10:37:28"	"1305715048"	"Settle Down (Live @ Sing Sing)"	""	"Kimbra"	"fad2875e-ba81-4637-b859-4684622dcb1c"	"Settle Down (Live @ Sing Sing)"	""	"Kimbra"	"fad2875e-ba81-4637-b859-4684622dcb1c"
"2011-05-18T20:43:15"	"1305751395"	"Umbrellas"	"1f6bb731-0b5d-4632-8b4d-f6a82a72f8f6"	"Peanut Butter Wolf"	"5e87164c-4c3b-4f2f-91cc-92c06a99c461"	"Umbrellas"	"1f6bb731-0b5d-4632-8b4d-f6a82a72f8f6"	"Peanut Butter Wolf"	"5e87164c-4c3b-4f2f-91cc-92c06a99c461"
"2011-05-22T21:44:56"	"1306100696"	"Tempelhof"	"9a36aa9a-735d-48c6-87da-ad4dab0083a5"	"Julia Kent"	"63733317-8113-413a-8b8b-7ef89cd1f50d"	"Tempelhof"	"9a36aa9a-735d-48c6-87da-ad4dab0083a5"	"Julia Kent"	"63733317-8113-413a-8b8b-7ef89cd1f50d"
"2011-06-05T05:58:00"	"1307253480"	"Sunday"	"e94f4b86-ed59-4975-8440-03679248e262"	"David Bowie"	"5441c29d-3602-4898-b1a1-b77fa23b8e50"	"Sunday"	"e94f4b86-ed59-4975-8440-03679248e262"	"David Bowie"	"5441c29d-3602-4898-b1a1-b77fa23b8e50"
"2011-06-11T21:07:06"	"1307826426"	"Garbagemx36"	""	"Autechre"	"410c9baf-5469-44f6-9852-826524b80c61"	"Garbagemx36"	""	"Autechre"	"410c9baf-5469-44f6-9852-826524b80c61"
"2011-06-14T20:38:21"	"1308083901"	"Tilapia"	"787618c9-2af8-4898-81e3-96cd36c85766"	"Autechre"	"410c9baf-5469-44f6-9852-826524b80c61"	"Tilapia"	"787618c9-2af8-4898-81e3-96cd36c85766"	"Autechre"	"410c9baf-5469-44f6-9852-826524b80c61"
"2011-06-15T20:37:00"	"1308170220"	"Corporate Cloning"	"ce8954dd-a919-49a4-82b0-9dde22a17ff1"	"Fear Factory"	"c17f08f4-2542-46fb-97f3-3202d60c225a"	"Corporate Cloning"	"ce8954dd-a919-49a4-82b0-9dde22a17ff1"	"Fear Factory"	"c17f08f4-2542-46fb-97f3-3202d60c225a"
"2011-06-15T20:38:44"	"1308170324"	"Big God / Raped Souls"	"472c305c-a6ab-4694-9752-2025846d8a1c"	"Fear Factory"	"c17f08f4-2542-46fb-97f3-3202d60c225a"	"Big God Raped Souls"	"8429f16d-5d56-4b3e-8f3d-400cb0892fc5"	"Fear Factory"	"c17f08f4-2542-46fb-97f3-3202d60c225a"
"2011-06-18T22:50:46"	"1308437446"	"A Long Walk (A Touch Of Jazz Mix) + Jazzanova L.O.V.E. Beats"	""	"Jill Scott"	"b1fb6a18-1626-4011-80fb-eaf83dfebcb6"	"A Long Walk (A Touch Of Jazz Mix) + Jazzanova L.O.V.E. Beats"	""	"Jill Scott"	"b1fb6a18-1626-4011-80fb-eaf83dfebcb6"
"2011-06-18T22:55:54"	"1308437754"	"Get It Together"	"92dc7e56-bbd3-4434-9e24-b180de85e126"	"Beastie Boys"	"9beb62b2-88db-4cea-801e-162cd344ee53"	"Get It Together"	"92dc7e56-bbd3-4434-9e24-b180de85e126"	"Beastie Boys"	"9beb62b2-88db-4cea-801e-162cd344ee53"
"2011-06-18T23:02:21"	"1308438141"	"Duran Duran vs DJ Khaled - Holla At Dem Girls On Film (lobsterdust mash)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"Duran Duran vs DJ Khaled - Holla At Dem Girls On Film (lobsterdust mash)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2011-06-18T23:57:56"	"1308441476"	"Restless Booty (Ying Yang Twins ft. Jacki-O vs. UNKLE)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"Restless Booty (Ying Yang Twins ft. Jacki-O vs. UNKLE)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2011-06-19T00:10:32"	"1308442232"	"SaySayism Allstar Jam"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"SaySayism Allstar Jam"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2011-06-19T00:47:43"	"1308444463"	"Unk vs. Avril Lavigne ft. Toni Basil - Walkin Out Yo Girlfriend (lobsterdust mash)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"Unk vs. Avril Lavigne ft. Toni Basil - Walkin Out Yo Girlfriend (lobsterdust mash)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2011-06-19T02:32:31"	"1308450751"	"Be Still My Burning Shadow (Sting vs. UNKLE)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"Be Still My Burning Shadow (Sting vs. UNKLE)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2011-06-19T03:23:37"	"1308453817"	"Borny Rappinghood (CCR vs. Tom Tom Club)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"Borny Rappinghood (CCR vs. Tom Tom Club)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2011-06-19T03:37:57"	"1308454677"	"Live at Bootie San Francisco (FEB 2008)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"	"lobsterdust--Live at Bootie San Francisco (FEB 2008)"	""	"DJ Lobsterdust"	"be00aab1-4b85-433c-92f0-39409436f8af"
"2011-06-22T08:03:29"	"1308729809"	"So What"	"a3df9955-c297-4174-89a2-e1330d73358d"	"Miles Davis"	"561d854a-6a28-4aa7-8c99-323e6ce46c2a"	"So What"	"a3df9955-c297-4174-89a2-e1330d73358d"	"Miles Davis"	"561d854a-6a28-4aa7-8c99-323e6ce46c2a"
"2011-06-30T12:44:45"	"1309437885"	"Black Eyes"	"58105c92-3315-4810-9c67-a47fba9a215b"	"Gallows"	"4cb159df-bd09-4f42-bfec-09b6a248a52f"	"Black Eyes"	"58105c92-3315-4810-9c67-a47fba9a215b"	"Gallows"	"4cb159df-bd09-4f42-bfec-09b6a248a52f"
"2011-06-30T12:51:11"	"1309438271"	"Death Voices"	"9e062d8e-2be1-44b7-8198-d6c8394e19e9"	"Gallows"	"4cb159df-bd09-4f42-bfec-09b6a248a52f"	"Death Voices"	"9e062d8e-2be1-44b7-8198-d6c8394e19e9"	"Gallows"	"4cb159df-bd09-4f42-bfec-09b6a248a52f"
"2011-06-30T12:59:06"	"1309438746"	"The Vulture (Acts I & II)"	"eb1daec0-48f6-4cd6-87e6-85e79ccb87a8"	"Gallows"	"4cb159df-bd09-4f42-bfec-09b6a248a52f"	"The Vulture (Acts I & II)"	"eb1daec0-48f6-4cd6-87e6-85e79ccb87a8"	"Gallows"	"4cb159df-bd09-4f42-bfec-09b6a248a52f"
"2011-07-02T12:03:21"	"1309608201"	"Sull Lull"	"7ced8903-1791-4832-8a9f-6462a2cfb342"	"Jan Garbarek, Anouar Brahem, Shaukat Hussain"	""	"Sull Lull"	"7ced8903-1791-4832-8a9f-6462a2cfb342"	"Jan Garbarek, Anouar Brahem, Shaukat Hussain"	""
"2011-07-14T13:21:36"	"1310649696"	"LiesLiesLies"	"fa6bdfdb-adfb-4361-8583-ec161619c52c"	"Ministry"	"13df2a46-f72f-40e7-aa63-26fcf62c7048"	"LiesLiesLies"	"fa6bdfdb-adfb-4361-8583-ec161619c52c"	"Ministry"	"13df2a46-f72f-40e7-aa63-26fcf62c7048"
"2011-11-03T14:59:17"	"1320332357"	"The Black Keys - Lonely Boy"	""	"The Black Keys"	"d15721d8-56b4-453d-b506-fc915b14cba2"	"The Black Keys - Lonely Boy"	""	"The Black Keys"	"d15721d8-56b4-453d-b506-fc915b14cba2"
"2011-11-21T13:52:49"	"1321883569"	"Cameron Bonde - p9"	""	"Octamed"	""	"Cameron Bonde - p9"	""	"Octamed"	""
"2011-11-24T14:31:07"	"1322145067"	"The Green Green Grass"	"865bac42-03c6-41d0-9846-96ff87c69f5c"	"The American Analog Set"	"7f5dde96-1573-4491-9673-f03fe7c5caaa"	"The Green Green Grass"	"865bac42-03c6-41d0-9846-96ff87c69f5c"	"The American Analog Set"	"7f5dde96-1573-4491-9673-f03fe7c5caaa"
"2012-02-01T22:59:06"	"1328137146"	"Dragonfly Across An Ancient Sky"	"4544ca15-f18d-4111-ae52-b57e6841f608"	"Helios"	"12353147-6610-4fa2-8b7b-a8336078093d"	"Dragonfly Across An Ancient Sky"	"4544ca15-f18d-4111-ae52-b57e6841f608"	"Helios"	"12353147-6610-4fa2-8b7b-a8336078093d"
"2012-02-02T01:58:25"	"1328147905"	"Tell Me a Bedtime Story"	"25f28460-7734-432a-9d2f-879f90c16035"	"Herbie Hancock"	"27613b78-1b9d-4ec3-9db5-fa0743465fdd"	"Tell Me a Bedtime Story"	"25f28460-7734-432a-9d2f-879f90c16035"	"Herbie Hancock"	"27613b78-1b9d-4ec3-9db5-fa0743465fdd"
"2012-02-02T02:37:50"	"1328150270"	"Vein Melter"	"63d6c2fa-98be-4210-9861-5045085245c3"	"Herbie Hancock"	"27613b78-1b9d-4ec3-9db5-fa0743465fdd"	"Vein Melter"	"63d6c2fa-98be-4210-9861-5045085245c3"	"Herbie Hancock"	"27613b78-1b9d-4ec3-9db5-fa0743465fdd"
